abandon oneself to,"na. 恣意
"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
go out,"na. 出去；灭；辞职；下台
"
go out of business,"na. 停业；改行
"
go out of one's way,"na. 绕弯儿走；不怕麻烦；特地；故意
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go to court,v. 起诉，朝见君主; 打官司; 觐见; 上朝
go to extremes,"na. 走极端
"
go to pieces,"na. “fall to pieces”的变体
"
go under,"na. 沉没；没落；失败；屈服
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
go wild,"na. 兴奋；高兴
"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
"
go without,"na. 缺少；没有…而忍受过去
"
go without saying,"na. 不待说
"
go wrong,"na. 走错路；失败
"
grind on, 无聊乏味地继续着；令人厌烦地长时间持续著
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
"
grow into,"na. “grow in”的变体
"
grow out,"na. 出芽
"
grow out of,"na. 抛弃；戒除；长大而穿不上衣服；源出
"
grow up,"na. 长大
"
guard against,"v. 防止；加以预防；抵御
"
hack into, 侵入；非法侵入；私自存取或篡改
had rather,"na. 还是…的好
"
had ... rather than,"与其...不如..., 宁愿...不愿..."
would rather,"na. 宁愿
"
would ... rather than,宁愿...而不愿
hail from,"v. 来自
"
hammer away at,"na. 连连敲打；刻苦钻研
"
hammer out,"na. 苦心想出；推敲出；敲出(音调等)；锤薄
"
hand back,"v. 归还
"
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand on,"na. 依次传递
"
hand out,"na. 分；拿出来；施舍
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
hang around,"na. 在附近徘徊；踌躇不前
"
hang on,"v. 坚守；守住；坚持；支撑着
"
hang on to,"na. 紧紧握住
"
hang together,"na. 符合；团结一致；结合[纠结]在一起；前后照应
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
have a bearing on,"na. 关系到
"
have an effect on,"na. 对…有影响
"
have in mind,"na. 记住；铭记不忘；注意
"
hinge on,"v. 随…而定；依赖
"
hinge upon,"v. 随…而定；依赖
"
hit back, 反击；还手；回击
hit on,"na. 忽然想到；偶然发现；无意中发现；〈非正式〉搭讪
"
hit upon,"v. 碰巧发现；忽然想出
"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold fast to,"v. 坚持
"
hold forth,"v. 提供；大发议论
"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold one's breath,"na. 屏息
"
hold one's own,"un. 忍耐一下；逐渐成为；打了个平手；比得上
"
hold out,"na. 伸出；提出；维持；制止
"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold together,"na. (使)团结在一起
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
hold with,"na. 同意；和…抱同一意见
"
hook up,"n. 【无线】试验线路；联播电台；联合
"
hung up,"v. 挂断电话；挂机；悬挂；耽搁
adj. 十分担忧；想得过多
"
hush up,"na. 掩盖
"
improve on,"na. 改良
"
improve upon,作出比…更好的东西;对…作出改进
inquire after,"na. 问候(病人等)
"
inquire into,"na. 调查；探索
"
join hands,"na. 联合；同…合伙开店；同…结婚
"
join in,"na. 参加；参与
"
join up,"na. 入伍；联合起来；同“join”
"
join up with, 汇合
jump the queue,"na. 不按次序排队；企图获得优惠待遇
"
jump a queue,无
keep a secret,"na. 守秘密；(保)守秘密
"
keep abreast of,"na. 跟着(时代)跑
"
keep an eye on,"v. 密切注意
"
keep at,"na. 纠缠；坚持地做
"
keep at a distance,"un. 保持一定距离
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep in touch, 保持联系；保持联络；再联系
keep off,"na. 不让接近；不接近
"
keep on,"na. 继续；穿[戴]着不脱
"
keep one's fingers crossed,"un. 对…了如指掌；祝愿
"
keep pace with,"na. 赶上；保持同步；随着…而增长
"
keep to,"v. 坚持；固守
"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"na. 不落后
"
key in,"un. 插上；键入
"
kick in,"na. 〈美〉捐(款)；清还；破门而入；〈俚〉死
"
kick off,"na. (足球)中线开球；开始(某种活动)；死；踢脱(鞋等)
"
kick out,"na. 踢出；解雇；踢足球出界
"
kick up,"na. 踢起(灰尘)；引起(骚动)
"
kill two birds with one stone,"na. 一举两得；一石两鸟
"
knock about,"n. 武打戏的表演[演员]；结实的东西；狠斗；流浪汉
adj. 吵闹的；〈口〉流浪的；(衣服)结实的
"
knock around,"na. “knock about”的变体
"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
knock out,"na. 敲出；敲空；使屈服；使无用
"
knock over,"na. 弄倒；屈服；死；逮捕
"
lack of,"v. 缺乏
"
lash out at,"v. 痛打；狠踢
"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
"
laugh off,"v. 对…一笑置之
"
launch into, （使）在（水）中漂浮; 使下水; 发射上天; （使）开始从事
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay claim to,"na. 要求(…是自己的)；自以为是
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay on,"na. 发(命令)；挥鞭等；涂(颜料等)；加给
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay over,"n. 中途的短暂停留
"
lay up,"na. 切入篮；“lay in”的变体
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
lean on,"na. 靠在；倚赖；【军】据险(固守)
"
leave alone,"na. 丢下不管；不要管
"
leave behind,"na. 遗留；留下；追过；留在后头
"
leave off,"na. 戒除；不再穿；休假许可
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
lend sb. a hand,"na. 帮忙；参加；帮助
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let go of,"v. 释放
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,"na. 放宽；打；放出；泄漏
"
let slip,"na. 落下；不当心泄漏；【数】画(垂线等)
"
let up,"na. 中止；(风雨等)减弱
"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
"
level out,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
"
lie behind, 位于…之后;  留在…的后头; 是…的原因; 存在于过去
lie down,"v. 躺下；不反抗；屈服；顺从
"
lie in,"na. 存在于；(分娩后)坐月子
"
light on,"na. 发现
"
light up,"na. 点灯；照亮；点香烟；变快活
"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
link up,"na. 联合
"
live a lie,"na. 过虚伪的生活；过欺骗人的生活
"
live off,"na. 住在…之外；以…为生
"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
live out,"na. 住在外面；活过
"
live through,"na. 度过
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
"
lock in,"na. 关起来；锁在里面
"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
log in,"na. 进入电脑工作系统；“log on”的变体
"
log out,"v. 退出
"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
"
look around,"na. 看起来好像；环视
"
look round,"na. 环顾；仔细考虑；往周围一看；回头看
"
look at,"na. 看；考虑
"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
"
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
